epoch,step,train/loss,val/auroc,val/auroc_Brocho-pneumonia,val/auroc_Bronchiolitis,val/auroc_Bronchitis,val/auroc_No finding,val/auroc_Other disease,val/auroc_Pneumonia,val/loss
31,6975,,0.7267599105834961,0.7365167737007141,0.6820193529129028,0.7223892211914062,0.7316677570343018,0.6863524913787842,0.8016139268875122,1.0156123638153076
31,6975,0.9754080176353455,,,,,,,,
32,7193,,0.7275549173355103,0.7361432909965515,0.680401086807251,0.7235727906227112,0.7322161197662354,0.6906136274337769,0.8023824691772461,1.0183303356170654
32,7193,0.9716482162475586,,,,,,,,
33,7411,,0.7274556756019592,0.7367614507675171,0.6792392730712891,0.72452312707901,0.7314799427986145,0.6898062229156494,0.8029239177703857,1.0180864334106445
33,7411,0.9715515375137329,,,,,,,,
34,7629,,0.7269406914710999,0.7382553219795227,0.6776071786880493,0.7267951965332031,0.730954110622406,0.6891782879829407,0.7988541722297668,1.0141500234603882
34,7629,0.968156635761261,,,,,,,,
35,7847,,0.7272575497627258,0.737714409828186,0.6776071786880493,0.7293005585670471,0.7306950092315674,0.6885353922843933,0.7996925711631775,1.0140994787216187
35,7847,0.9659205079078674,,,,,,,,
36,8065,,0.7267654538154602,0.7383711934089661,0.6762931942939758,0.7297152280807495,0.7306386232376099,0.6873841285705566,0.7981904745101929,1.0140801668167114
36,8065,0.9636039137840271,,,,,,,,
37,8283,,0.7269150018692017,0.7368258237838745,0.6770401000976562,0.7306482791900635,0.7303118705749512,0.6864122748374939,0.8002515435218811,1.0176137685775757
37,8283,0.9614099860191345,,,,,,,,
38,8501,,0.7282631397247314,0.7375727891921997,0.6768326163291931,0.7316590547561646,0.730803906917572,0.6897165179252625,0.8029937744140625,1.0181337594985962
38,8501,0.9593037366867065,,,,,,,,
39,8719,,0.7272064089775085,0.7374439835548401,0.6742185354232788,0.7318577766418457,0.7309766411781311,0.6890138387680054,0.7997274994850159,1.0163092613220215
39,8719,0.957172691822052,,,,,,,,
40,8937,,0.7278814911842346,0.7373409867286682,0.6755463480949402,0.7316504120826721,0.7306048274040222,0.6896417737007141,0.8025047183036804,1.018011212348938
40,8937,0.9555624127388,,,,,,,,
41,9155,,0.7280387282371521,0.7375856637954712,0.6759750843048096,0.733862042427063,0.7310630679130554,0.6892679929733276,0.8004785776138306,1.0164207220077515
41,9155,0.953373372554779,,,,,,,,
42,9373,,0.7276929616928101,0.7378818392753601,0.6752973794937134,0.7331277132034302,0.7312170267105103,0.6891334056854248,0.7995004653930664,1.0143197774887085
42,9373,0.9508267641067505,,,,,,,,
43,9591,,0.7288091778755188,0.7370190024375916,0.67672199010849,0.7341903448104858,0.7314761877059937,0.6908378601074219,0.8026095032691956,1.0184351205825806
43,9591,0.9495404362678528,,,,,,,,
44,9809,,0.7285762429237366,0.7369288802146912,0.6758229732513428,0.7338274717330933,0.7312959432601929,0.6908677816390991,0.8027142882347107,1.017498254776001
44,9809,0.9475884437561035,,,,,,,,
45,10027,,0.7281049489974976,0.7367743253707886,0.6771092414855957,0.73549485206604,0.7309954762458801,0.6901351809501648,0.7981206178665161,1.015751838684082
45,10027,0.9442744851112366,,,,,,,,
46,10245,,0.7286391854286194,0.7375727891921997,0.6765837073326111,0.7336547374725342,0.7317954301834106,0.6916452646255493,0.8005833625793457,1.014575481414795
46,10245,0.9429590702056885,,,,,,,,
47,10463,,0.7288572192192078,0.7375727891921997,0.6764038801193237,0.7337756752967834,0.7322123646736145,0.6920190453529358,0.8011597990989685,1.0148848295211792
47,10463,0.9407327771186829,,,,,,,,
48,10681,,0.7293499708175659,0.7356024384498596,0.6781742572784424,0.7334300875663757,0.7318517565727234,0.6921087503433228,0.8049325942993164,1.0220240354537964
48,10681,0.9390689730644226,,,,,,,,
49,10899,,0.7279165387153625,0.735962986946106,0.6764453649520874,0.7337411046028137,0.7314761877059937,0.689342737197876,0.8005309700965881,1.0162718296051025
49,10899,0.936866044998169,,,,,,,,
50,11117,,0.7275691032409668,0.7362720966339111,0.6747441291809082,0.7336633205413818,0.7314048409461975,0.6909126043319702,0.7984175086021423,1.0182363986968994
50,11117,0.9361804127693176,,,,,,,,
51,11335,,0.7281176447868347,0.7353191375732422,0.6751452088356018,0.7356935739517212,0.7302480340003967,0.6905986666679382,0.8017012476921082,1.0193734169006348
51,11335,0.933183491230011,,,,,,,,
52,11553,,0.7280823588371277,0.7350615859031677,0.6756293177604675,0.7357367277145386,0.7302555441856384,0.6905986666679382,0.8012121915817261,1.0186898708343506
52,11553,0.9322890639305115,,,,,,,,
53,11771,,0.7297449111938477,0.7360145449638367,0.6798616647720337,0.7348728179931641,0.7322949767112732,0.6913312673568726,0.8040941953659058,1.0220144987106323
53,11771,0.9310315251350403,,,,,,,,
54,11989,,0.7296263575553894,0.7355638146400452,0.6793084144592285,0.7356417179107666,0.7319269180297852,0.6920788288116455,0.8032383322715759,1.0184954404830933
54,11989,0.9281483888626099,,,,,,,,
55,12207,,0.7277386784553528,0.734108567237854,0.6764453649520874,0.7359354496002197,0.729823648929596,0.6906883716583252,0.7994306087493896,1.0218616724014282
55,12207,0.926171600818634,,,,,,,,
56,12425,,0.7291582822799683,0.7353963851928711,0.6773858666419983,0.7350196838378906,0.7314048409461975,0.6907930374145508,0.8049500584602356,1.0253926515579224
56,12425,0.9242810010910034,,,,,,,,
57,12643,,0.7295136451721191,0.7354092597961426,0.6788381934165955,0.7352702617645264,0.731393575668335,0.691884458065033,0.8042863011360168,1.025033950805664
57,12643,0.9225404858589172,,,,,,,,
58,12861,,0.7283941507339478,0.7336965203285217,0.6796404123306274,0.7350456118583679,0.7299175262451172,0.6891932487487793,0.8028715252876282,1.0241167545318604
58,12861,0.9214652180671692,,,,,,,,
59,13079,,0.728341281414032,0.733915388584137,0.6793360710144043,0.7345359325408936,0.7290987372398376,0.6882811784744263,0.8048802018165588,1.0342800617218018
59,13079,0.9184684753417969,,,,,,,,
60,13297,,0.7281156778335571,0.7340184450149536,0.6787136793136597,0.7332572937011719,0.7302893400192261,0.6901202201843262,0.8022950887680054,1.023432731628418
60,13297,0.9166658520698547,,,,,,,,
61,13515,,0.7292336225509644,0.7345592975616455,0.6805809140205383,0.7342767119407654,0.7300978302955627,0.6912863850593567,0.804600715637207,1.0307186841964722
61,13515,0.9151926636695862,,,,,,,,
